Gameweek,Player 1,Player 2,Player 3,Player 4,Player 5,Player 6,Player 7,Player 8,Player 9,Player 10,Player 11
6,A.Becker,Konaté,Haaland,Bentancur,Johnson,Son,Konsa,Bogarde,Watkins,Mitoma,N.Jackson
7,Kelleher,Konaté,Luis Díaz,Haaland,Watkins,J.Araujo,Kerkez,Tavernier,Mbeumo,Madueke,N.Jackson
8,Havertz,A.Becker,Konaté,Robertson,Trossard,Konsa,Solanke,Mbeumo,N.Jackson,Palmer,Saka
9,Konaté,M.Salah,Tsimikas,Haaland,Sels,Johnson,Maddison,Solanke,Adama,Raúl,Alex Moreno
10,Kelleher,Haaland,Lewis,Gordon,Udogie,Van de Ven,Gündogan,Mbeumo,Welbeck,N.Jackson,Palmer
11,Havertz,Kelleher,Konaté,M.Salah,Lewis,Rúben,Johnson,Solanke,Buonanotte,N.Jackson,Palmer
12,M.Salah,Haaland,B.Fernandes,Alex Moreno,Sels,Johnson,Milenković,Semenyo,Solanke,Welbeck,Andersen
13,Jones,Kelleher,M.Salah,Haaland,Isak,Rogers,Madueke,N.Jackson,Branthwaite,Mykolenko,Young
14,M.Salah,Haaland,Hall,Sels,Milenković,Watkins,Merino,Mbeumo,Wissa,Enzo,Alex Moreno
15,M.Salah,Haaland,Rogers,Watkins,Raya,Enzo,N.Jackson,J.Ayew,Mykolenko,Tarkowski,Young
16,M.Salah,Zinchenko,Johnson,Huijsen,Evanilson,Kiwior,Watkins,Kluivert,Wissa,Raya,Palmer
