Gameweek,Player_1,Player_2,Player_3,Player_4,Player_5,Player_6,Player_7,Player_8,Player_9,Player_10,Player_11
5,A.Becker,Thomas,Konaté,Haaland,Son,Konsa,Bogarde,Mitoma,Welbeck,N.Jackson,Saka
6,Kelleher,Konaté,Luis Díaz,Haaland,Barnes,Watkins,J.Araujo,Kerkez,Mbeumo,Madueke,N.Jackson
7,Havertz,A.Becker,Konaté,Robertson,Trossard,Johnson,Calafiori,Watkins,Mbeumo,N.Jackson,Palmer
8,Konaté,M.Salah,Tsimikas,Sels,Johnson,Maddison,Watkins,Solanke,Palmer,Raúl,Alex Moreno
9,M.Salah,Kovačić,Lewis,Wood,Udogie,Van de Ven,Vicario,Mbeumo,Welbeck,N.Jackson,Palmer
10,Kelleher,M.Salah,Virgil,Akanji,Rúben,Wood,Johnson,Buonanotte,N.Jackson,Palmer,Raúl
11,M.Salah,B.Fernandes,Alex Moreno,Sels,Wood,Johnson,Solanke,Mbeumo,Welbeck,Andersen,Bassey
12,Jones,Kelleher,M.Salah,Haaland,B.Fernandes,Isak,Evanilson,Rogers,Branthwaite,Mykolenko,Young
13,M.Salah,B.Fernandes,Murillo,Milenković,Evanilson,Solanke,Mbeumo,Wissa,Raya,Saka,Alex Moreno
14,J.Timber,Gakpo,M.Salah,Watkins,Kluivert,Raya,Enzo,N.Jackson,Palmer,Young,Saliba
15,M.Salah,Zinchenko,Huijsen,Evanilson,Kiwior,Watkins,Kluivert,Schade,Wissa,Raya,Palmer
16,J.Timber,M.Salah,Isak,Wood,Kluivert,Huijsen,Kiwior,Raya,Enzo,N.Jackson,Palmer
